project,genome,file_accession,type,output_type,replicates,pipe
ENCSR639IIZ,GRCh38,ENCFF791GGY,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR639IIZ,GRCh38,ENCFF077IGW,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR639IIZ,GRCh38,ENCFF094SJQ,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR756UNW,GRCh38,ENCFF802DLC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR756UNW,GRCh38,ENCFF689ER,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR756UNW,GRCh38,ENCFF794EMA,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR402ZCY,GRCh38,ENCFF349HIP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR402ZCY,GRCh38,ENCFF803MOB,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR402ZCY,GRCh38,ENCFF628AVW,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR987MTA,GRCh38,ENCFF445XYV,bed narrowPeak,IDR thresholded peaks,"4, 5",ENCODE4
ENCSR987MTA,GRCh38,ENCFF978JKI,bed narrowPeak,IDR thresholded peaks,4,ENCODE4
ENCSR987MTA,GRCh38,ENCFF342VGR,bed narrowPeak,IDR thresholded peaks,5,ENCODE4
ENCSR987MTA,GRCh38,ENCFF370ZNL,bed narrowPeak,optimal IDR thresholded peaks,"4, 5",ENCODE3
ENCSR758PLU,GRCh38,ENCFF207MLR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR758PLU,GRCh38,ENCFF320VJV,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR758PLU,GRCh38,ENCFF323POA,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR636MKU,GRCh38,ENCFF631RZH,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4
ENCSR636MKU,GRCh38,ENCFF812RFB,bed narrowPeak,IDR thresholded peaks,4,ENCODE4
ENCSR636MKU,GRCh38,ENCFF561GNR,bed narrowPeak,IDR thresholded peaks,3,ENCODE4
ENCSR636MKU,GRCh38,ENCFF725YZH,bed narrowPeak,optimal IDR thresholded peaks,"3, 4",ENCODE3
ENCSR619OUC,GRCh38,ENCFF773KEL,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR619OUC,GRCh38,ENCFF139IGE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR619OUC,GRCh38,ENCFF134XZF,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR619OUC,GRCh38,ENCFF441SXX,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR269MEF,GRCh38,ENCFF458IBK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
